,address,categoryName,phone,postalCode,reviewsCount,state,title,website
75,"L.G.8, Vaishali Arcade, Vaikunthlal Mehta Rd, next to Options Fashion Mall, Yamuna Nagar, Nehru Nagar, JVPD Scheme, Juhu, Mumbai, Maharashtra 400049, India",Baby store,+91 98195 63662,400049.0,489,Maharashtra,Green Bell,http://greenbellonline.com/
74,"KABRA AURUM, B1501, 2, opp. Venus Charitable Trust's Joggers Park, Unnat Nagar, Goregaon West, Mumbai, Maharashtra 400104, India",Baby store,+91 93200 08055,400104.0,704,Maharashtra,HOOPA Baby Store,http://www.hoopa.in/
73,"Samkeet Apartments, Sant, Sant Janabai Rd, off Hanuman Road, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057, India",Baby store,+91 93244 91533,400057.0,38,Maharashtra,Kicks & Crawl,https://kicksandcrawl.com/
72,"Shop No. 12 & 13, Ground Floor, Kothari Mall, Swami Vivekananda Rd, Malad, Vijaykar Wadi Industrial, Vijaykar Wadi, Malad West, Mumbai, Maharashtra 400064, India",Baby store,+91 98331 45929,400064.0,32,Maharashtra,Toddlerz Heaven,
71,"No. 3, 2/16 , Unnath Nagar, Mahatma Gandhi Rd, opp. Nutan Oil, Goregaon West, Mumbai, Maharashtra 400104, India",Baby store,+91 88798 47276,400104.0,16,Maharashtra,Mini world Baby Store,
69,"Shop No. A/12, Natraj Market, SV Rd, Malad, Vijaykar Wadi Industrial, Vijaykar Wadi, Malad West, Mumbai, Maharashtra 400064, India",Baby store,,,35,,Mom's Baby,
67,"Natraj Market, Shop No. 22 A,(1) Durga Galli, SV Rd, Malad West, Mumbai, Maharashtra 400064, India",Baby store,+91 99879 98426,400064.0,17,Maharashtra,Kanchan Kids-Baby Care products & Kids Wear In Malad Mumbai,
65,"Shop no 18, Linkway Estate, CTS no 1093, New Link Rd, near Greens Restaurant & Bata, behind Glass House, Malad, Ram Nagar, Malad West, Mumbai, Maharashtra 400064, India",Baby store,+91 83558 06874,400064.0,1,Maharashtra,Snowhite Baby Products,
61,"108, Raheja Plaza, Off Veera Desai Rd, Industrial Area, Andheri West, Mumbai, Maharashtra 400053, India",Baby store,,400053.0,0,Maharashtra,Windmill baby,https://windmillbaby.com/
60,"Shop No.16, Road No. 19, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071, India",Baby store,+91 98678 44843,400071.0,28,Maharashtra,Festoons Nx - Little Details,
58,"SHOP NO. 4 & 5 RAMDAS NAYAK MARG ( HILL, ROAD, Bandra West, Mumbai, Maharashtra 400050, India",Baby store,+91 99203 51772,400050.0,34,Maharashtra,DESIGN TOUCH,
55,"Nav Palmyra, 101, 21st Rd, Bandra West, Mumbai, Maharashtra 400050, India",Baby store,+91 96199 95004,400050.0,0,Maharashtra,BabyLu,
54,"Shop No 02 /12 Jayi Home Buddha Vikar Society, No 01, Kurla E, Mumbai, Maharashtra 400071, India",Baby store,+91 99209 68921,400071.0,0,Maharashtra,Kgn Diaper Depot,
51,"Shop No 61, House, Hira Kumbhar Chawl, Sg Barve Marg West, Kurla W Sta Rd, near Model Talkies, Kurla West, Mumbai, Maharashtra 400024, India",Baby store,+91 99202 76846,400024.0,0,Maharashtra,Baby Care,
49,"3RJR+27W Noor baby diaper, Willingdon, santacruz (w, Mumbai, Maharashtra 400054, India",Baby store,,,0,,Santacruz west,
44,"Khan Abdul Majid Marg, Vinobha Bhave Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",Baby store,+91 91175 10046,400070.0,0,Maharashtra,Miyan Store,
43,"R1, Ekta chawal, Chaitanya Nagar, Iit Market, Powai, Mumbai, Maharashtra 400076, India",Baby store,+91 88792 45806,400076.0,4,Maharashtra,Baby shine Creation,
202,"Plot N43, Road No. 3, Govandi Slums, Govandi West, Baiganwadi, Shivaji Nagar, Mumbai, Maharashtra 400043, India",Baby store,+91 90825 15345,400043.0,0,Maharashtra,Mohammad zaim,
203,"Aryan General Store, Ashok Nagar, Saki Naka, Mumbai, Maharashtra 400070, India",Baby store,+91 82912 25558,400070.0,2,Maharashtra,Sangeetadevi Bholanath Chaurasia,
712,"Road No. 6, near Me A Money, Kamalabai Nagar, Govandi Colony, Adasa Nagar, Shivaji Nagar, Mumbai, Maharashtra 400043, India",Baby store,+91 88905 19746,400043.0,0,Maharashtra,Pallavi Roy,
235,"Saibaba Nagar, Pant Nagar, Ghatkopar, Mumbai, Maharashtra 400077, India",Baby store,+91 6355 924 382,400077.0,0,Maharashtra,Priya Singh,
262,"Brahmanwadi, Kurla, Mumbai, Maharashtra 400070, India",Baby store,+91 79778 76858,400070.0,0,Maharashtra,Krishnat Store,
